ACL policy,Declarative HCL/JSON policy שמגדירה capabilities מותרות או אסורות על Vault paths.,מנגנון ה-authorization המרכזי ב-Vault.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
ACME,Automated Certificate Management Environment protocol לאוטומציה של certificate issuance ו-renewal.,מייצר סטנדרט לאוטומציה של certificate lifecycle.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki-external-ca
Active node,ה-Vault node שמטפל כרגע ב-writes ובתפקידי leadership של שירות ה-HA.,מתאם requests שדורשים active leadership.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
Allowed parameters,Policy constraint שמגביל אילו request parameters/values מותרים.,מוסיף authorization granular מעבר ל-path ול-capability.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
API address (api_addr),הכתובת המפורסמת שבה clients או components אחרים משתמשים כדי להגיע ל-Vault node/API.,תומכת ב-redirects וב-client connectivity נכונה בפריסות HA.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
AppRole,Auth method למכונות המשתמש ב-RoleID וב-SecretID או constraints קשורים.,תומך ב-applications שאינן יכולות להשתמש ב-platform-native identity integration חזקה יותר.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/auth/approle/approle-pattern
Audit device,Destination/backend מוגדר שאליו Vault כותב detailed API request/response audit records.,"מספק accountability, forensics ו-compliance evidence.","09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/audit
Audit hash,Hash שנוצר עבור value ידוע באמצעות HMAC key של audit device.,מאפשר לחוקרים לחפש sensitive value ב-audit logs בלי לרשום אותו כ-plaintext.,"09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/audit
Audit HMAC,Vault מבצע hash לרוב sensitive string values ב-audit logs באמצעות keyed HMAC-SHA256 כברירת מחדל.,שומר audit correlation תוך צמצום plaintext secret exposure.,"09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/audit
Audit request ID,Identifier שמופיע ב-request/response audit records קשורים.,מקשר בין שני הצדדים של API operation אחת.,"09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/audit/schema
Auth method,Vault plugin שמבצע authentication למשתמש או workload ובדרך כלל מחזיר Vault token עם policies שמופו אליו.,מחבר external או native identity evidence ל-Vault authorization.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/auth
Authentication (AuthN),התהליך שבו client מוכיח מי הוא או מה הוא.,קובע האם client רשאי לקבל Vault token.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/auth/approle/approle-pattern
Authorization (AuthZ),התהליך שקובע אילו פעולות identity שעברה authentication רשאית לבצע.,אוכף least privilege לאחר authentication.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/auth/approle/approle-pattern
Auto Unseal,Configuration שבו Vault מעביר את ההגנה/פענוח של חומר ה-seal key ל-KMS או HSM מהימן.,מצמצם את הנטל התפעולי של manual unseal לאחר restart של nodes.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault / Enterprise depending on seal,https://developer.hashicorp.com/vault/docs/concepts/seal
Auto-Auth,יכולת של Vault Agent שמבצעת authentication אוטומטי באמצעות auth method מוגדר ומנהלת token renewal.,מסירה מה-application את האחריות ל-Vault login ול-token refresh.,"10 - Kubernetes, agents ו-automation",Vault Agent,https://developer.hashicorp.com/vault/docs/agent-and-proxy/agent
Automated snapshots,Enterprise feature ליצירה ולניהול מתוזמנים של Integrated Storage snapshots.,מצמצמת manual backup operations.,11 - Enterprise features ו-platform operations,Vault Enterprise,https://developer.hashicorp.com/vault/docs/license
Autopilot,יכולת של Vault Integrated Storage שמנטרת Raft server health ומסייעת לנהל cluster membership behavior.,משפרת operational safety ו-observability של Raft clusters.,"08 - Storage, HA, replication ו-disaster recovery",Vault,https://developer.hashicorp.com/vault/docs/concepts/integrated-storage/autopilot
Barrier,גבול ההצפנה של Vault: רוב המידע מוצפן לפני שהוא נכתב ל-storage backend.,מונע מה-storage backend לראות plaintext data של Vault.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/glossary
Barrier encryption,תהליך ההצפנה שמגן על נתוני Vault במנוחה לפני persistence.,שומר על confidentiality גם כאשר לא נותנים אמון ב-storage backend.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/glossary
